especie,wolbachia,tratamento,data,R1,R2,R3,R4,R5
triauraria,N,C,06/11/2022,6,7,5,7,3
bocquete,P,V,07/11/2022,9,8,10,8,9
bocquete,P,C,07/11/2022,6,4,6,3,6
bocquete,N,V,07/11/2022,4,8,8,8,9
bocquete,N,C,07/11/2022,6,9,9,7,6
melanogaster,P,V,07/11/2022,3,1,0,1,1
melanogaster,P,C,07/11/2022,8,11,13,9,12
melanogaster,N,V,07/11/2022,0,0,1,0,0
melanogaster,N,C,07/11/2022,1,1,0,5,1
baimai,P,V,07/11/2022,0,0,0,0,0
baimai,P,C,07/11/2022,8,9,11,14,13
baimai,N,V,07/11/2022,0,0,0,0,0
baimai,N,C,07/11/2022,9,12,11,12,10
triauraria,P,V,07/11/2022,1,2,3,1,6
triauraria,P,C,07/11/2022,4,5,5,4,7
triauraria,N,V,07/11/2022,1,0,1,0,1
triauraria,N,C,07/11/2022,6,7,5,6,3
bocquete,P,V,08/11/2022,9,8,10,8,9
bocquete,P,C,08/11/2022,4,4,6,3,5
bocquete,N,V,08/11/2022,4,8,8,8,9
bocquete,N,C,08/11/2022,6,8,8,7,6
melanogaster,P,V,08/11/2022,3,1,0,1,1
melanogaster,P,C,08/11/2022,8,11,13,9,12
melanogaster,N,V,08/11/2022,0,0,1,0,0
melanogaster,N,C,08/11/2022,1,1,0,5,1
baimai,P,V,08/11/2022,0,0,0,0,0
baimai,P,C,08/11/2022,7,9,11,14,12
baimai,N,V,08/11/2022,0,0,0,0,0
baimai,N,C,08/11/2022,9,12,11,12,10
triauraria,P,V,08/11/2022,1,1,3,1,5
triauraria,P,C,08/11/2022,4,5,5,4,7
triauraria,N,V,08/11/2022,1,0,1,0,0
triauraria,N,C,08/11/2022,6,7,5,6,3
bocquete,P,V,09/11/2022,9,8,10,8,9
bocquete,P,C,09/11/2022,4,4,6,3,5
bocquete,N,V,09/11/2022,4,8,8,8,9
bocquete,N,C,09/11/2022,6,7,8,7,6
melanogaster,P,V,09/11/2022,3,1,0,1,1
melanogaster,P,C,09/11/2022,8,11,13,9,12
melanogaster,N,V,09/11/2022,0,0,1,0,0
melanogaster,N,C,09/11/2022,1,1,0,5,1
baimai,P,V,09/11/2022,0,0,0,0,0
baimai,P,C,09/11/2022,7,9,11,14,12
baimai,N,V,09/11/2022,0,0,0,0,0
baimai,N,C,09/11/2022,9,12,11,12,10
triauraria,P,V,09/11/2022,1,1,3,1,4
triauraria,P,C,09/11/2022,4,5,5,4,7
triauraria,N,V,09/11/2022,1,0,0,0,0
triauraria,N,C,09/11/2022,6,7,4,6,3
bocquete,P,V,10/11/2022,9,8,10,8,9
bocquete,P,C,10/11/2022,4,4,6,3,5
bocquete,N,V,10/11/2022,4,8,8,7,8
bocquete,N,C,10/11/2022,6,7,8,6,6
melanogaster,P,V,10/11/2022,2,1,0,1,0
melanogaster,P,C,10/11/2022,8,11,13,9,12
melanogaster,N,V,10/11/2022,0,0,1,0,0
melanogaster,N,C,10/11/2022,1,1,0,5,1
