"","especie","wolbachia","tratamento","data","replica","sobreviventes","DPI","catg"
"84","baimai","W+","FHV",2022-10-20,"R4",15,1,"baimaiW+FHVR4"
"85","baimai","W+","FHV",2022-10-20,"R5",14,1,"baimaiW+FHVR5"
"86","baimai","W+","Ringer",2022-10-20,"R1",14,1,"baimaiW+RingerR1"
"87","baimai","W+","Ringer",2022-10-20,"R2",13,1,"baimaiW+RingerR2"
"88","baimai","W+","Ringer",2022-10-20,"R3",12,1,"baimaiW+RingerR3"
"89","baimai","W+","Ringer",2022-10-20,"R4",14,1,"baimaiW+RingerR4"
"90","baimai","W+","Ringer",2022-10-20,"R5",15,1,"baimaiW+RingerR5"
"91","baimai","W-","FHV",2022-10-20,"R1",14,1,"baimaiW-FHVR1"
"92","baimai","W-","FHV",2022-10-20,"R2",15,1,"baimaiW-FHVR2"
"93","baimai","W-","FHV",2022-10-20,"R3",14,1,"baimaiW-FHVR3"
"94","baimai","W-","FHV",2022-10-20,"R4",14,1,"baimaiW-FHVR4"
"95","baimai","W-","FHV",2022-10-20,"R5",15,1,"baimaiW-FHVR5"
"96","baimai","W-","Ringer",2022-10-20,"R1",14,1,"baimaiW-RingerR1"
"97","baimai","W-","Ringer",2022-10-20,"R2",14,1,"baimaiW-RingerR2"
"98","baimai","W-","Ringer",2022-10-20,"R3",14,1,"baimaiW-RingerR3"
"99","baimai","W-","Ringer",2022-10-20,"R4",14,1,"baimaiW-RingerR4"
"100","baimai","W-","Ringer",2022-10-20,"R5",12,1,"baimaiW-RingerR5"
"101","triauraria","W+","FHV",2022-10-20,"R1",7,1,"triaurariaW+FHVR1"
"102","triauraria","W+","FHV",2022-10-20,"R2",7,1,"triaurariaW+FHVR2"
"103","triauraria","W+","FHV",2022-10-20,"R3",7,1,"triaurariaW+FHVR3"
"104","triauraria","W+","FHV",2022-10-20,"R4",8,1,"triaurariaW+FHVR4"
"105","triauraria","W+","FHV",2022-10-20,"R5",9,1,"triaurariaW+FHVR5"
"106","triauraria","W+","Ringer",2022-10-20,"R1",11,1,"triaurariaW+RingerR1"
"107","triauraria","W+","Ringer",2022-10-20,"R2",9,1,"triaurariaW+RingerR2"
"108","triauraria","W+","Ringer",2022-10-20,"R3",6,1,"triaurariaW+RingerR3"
"109","triauraria","W+","Ringer",2022-10-20,"R4",8,1,"triaurariaW+RingerR4"
"110","triauraria","W+","Ringer",2022-10-20,"R5",9,1,"triaurariaW+RingerR5"
"111","triauraria","W-","FHV",2022-10-20,"R1",11,1,"triaurariaW-FHVR1"
"112","triauraria","W-","FHV",2022-10-20,"R2",7,1,"triaurariaW-FHVR2"
"113","triauraria","W-","FHV",2022-10-20,"R3",13,1,"triaurariaW-FHVR3"
"114","triauraria","W-","FHV",2022-10-20,"R4",11,1,"triaurariaW-FHVR4"
"115","triauraria","W-","FHV",2022-10-20,"R5",13,1,"triaurariaW-FHVR5"
"116","triauraria","W-","Ringer",2022-10-20,"R1",12,1,"triaurariaW-RingerR1"
"117","triauraria","W-","Ringer",2022-10-20,"R2",10,1,"triaurariaW-RingerR2"
"118","triauraria","W-","Ringer",2022-10-20,"R3",13,1,"triaurariaW-RingerR3"
"119","triauraria","W-","Ringer",2022-10-20,"R4",12,1,"triaurariaW-RingerR4"
"120","triauraria","W-","Ringer",2022-10-20,"R5",4,1,"triaurariaW-RingerR5"
"121","bocqueti","W+","FHV",2022-10-21,"R1",11,3,"bocquetiW+FHVR1"
